ds;city;pres;yhat_pres;yhat_upper_pres;yhat_lower_pres;anomaly_pres;prcp;yhat_prcp;yhat_upper_prcp;yhat_lower_prcp;anomaly_prcp
05.03.2020;Aachen;995;1.015.494.764;1.027.734.315;100.446.401;1;12. Jun;1.796.631.343;4.943.636.459;-1.626.308.719;1
06.03.2020;Aachen;995.9;1.015.670.349;1.028.030.143;1.003.956.841;1;09. Jan;1.213.658.993;4.598.590.989;-1.964.739.498;1
07.03.2020;Aachen;1017.4;1.017.044.204;1.028.243.172;1.005.514.384;0;0;1.302.917.079;4.271.687.121;-1.950.694.624;0
08.03.2020;Aachen;1013.6;1.016.521.251;1.028.285.882;1.004.720.755;0;01. Feb;1.624.336.465;4.999.821.164;-2.031.652.512;0
09.03.2020;Aachen;1012.9;1.016.562.215;1.028.610.303;1.005.418.579;0;0;1.260.577.749;460.386.666;-2.190.575.312;0
10.03.2020;Aachen;1008.3;1.016.849.087;1.028.545.519;1.005.631.133;0;18. Mai;1.731.660.083;5.184.963.937;-1.757.563.269;1
11.03.2020;Aachen;1012.3;1.016.501.009;102.822.613;1.004.941.555;0;14. Mrz;1.602.990.899;5.028.718.518;-1.547.856.871;1
12.03.2020;Aachen;1012.1;1.015.913.008;1.027.654.973;1.003.777.975;0;01. Jul;1.649.603.964;4.920.529.416;-1.674.686.822;0
13.03.2020;Aachen;1017.8;101.610.913;1.027.646.111;1.004.904.898;0;0;1.069.768.759;4.109.342.264;-2.202.225.087;0
14.03.2020;Aachen;1020.2;1.017.507.108;1.028.805.512;1.004.926.273;0;0;1.162.849.279;4.506.919.653;-2.053.413.867;0
15.03.2020;Aachen;1014.5;1.017.012.537;1.027.924.215;1.005.940.048;0;0;1.488.882.046;4.827.461.608;-1.798.289.519;0
16.03.2020;Aachen;1018.9;1.017.086.486;1.027.997.756;1.005.306.542;0;0;1.130.612.925;4.467.850.647;-1.991.825.959;0
17.03.2020;Aachen;1029.4;101.741.094;1.028.536.147;1.005.446.446;1;0.1;1.608.119.233;5.058.544.962;-1.617.829.315;0
18.03.2020;Aachen;1027.6;1.017.104.677;1.028.471.515;1.004.650.376;0;0;1.486.833.611;4.819.221.962;-2.105.699.443;0
19.03.2020;Aachen;1025;1.016.561.999;102.829.397;1.004.929.195;0;0;1.541.777.292;4.765.422.882;-1.935.510.017;0
20.03.2020;Aachen;1024.3;1.016.805.884;1.028.823.896;1.005.071.132;0;03. Sep;0.971165983;441.687.546;-2.349.564.199;0
21.03.2020;Aachen;1025.6;1.018.252.681;1.029.982.725;10.064.243;0;04. Jun;1.074.266.591;4.261.784.223;-2.100.390.238;1
22.03.2020;Aachen;1028.1;1.017.806.323;1.029.082.415;1.005.867.495;0;0;1.410.974.727;478.998.578;-1.770.734.125;0
23.03.2020;Aachen;1031.2;1.017.925.994;1.030.008.587;1.006.801.949;1;0;1.063.852.634;4.401.040.749;-2.445.772.038;0
24.03.2020;Aachen;1030.3;101.829.163;1.029.545.706;1.007.274.822;1;0;155.275.405;5.016.599.618;-1.775.456.374;0
25.03.2020;Aachen;1026.2;1.018.019.862;1.029.112.447;1.006.381.941;0;0;1.442.852.448;4.663.833.447;-2.011.475.108;0
26.03.2020;Aachen;1021.7;1.017.502.821;1.028.473.296;1.006.544.426;0;0;1.508.880.189;4.551.312.077;-2.119.895.298;0
27.03.2020;Aachen;1019.3;1.017.761.365;1.029.705.894;1.006.068.054;0;0;0.94874168;4.281.684.397;-2.516.529.802;0
28.03.2020;Aachen;1021.5;1.019.209.856;10.309.442;1.008.003.245;0;0;1.061.378.596;4.068.918.898;-2.062.128.259;0
29.03.2020;Aachen;1024.7;1.018.750.439;1.030.038.727;1.006.643.184;0;0;1.406.356.844;4.753.619.344;-2.210.868.103;0
30.03.2020;Aachen;1030.9;1.018.840.788;1.031.063.791;1.007.109.004;0;0;1.065.914.679;4.208.166.183;-2.156.544.991;0
31.03.2020;Aachen;1028.9;1.019.159.668;1.030.649.842;100.784.031;0;0;155.959.819;4.976.587.377;-1.809.826.087;0
01.04.2020;Aachen;1022.9;1.018.822.932;1.030.272.103;1.007.132.978;0;0;1.452.300.263;4.881.434.925;-2.025.988.629;0
02.04.2020;Aachen;1015.5;1.018.222.374;1.030.520.744;1.006.621.347;0;0;1.518.510.262;4.808.074.412;-1.742.698.892;0
03.04.2020;Aachen;1016.1;1.018.378.993;1.029.814.044;1.006.541.925;0;0;0.95593717;4.345.230.925;-2.559.480.437;0
04.04.2020;Aachen;1023.3;1.019.707.778;1.031.554.673;1.007.800.593;0;0;106.338.392;4.294.167.823;-2.136.077.497;0
05.04.2020;Aachen;1021;1.019.112.011;1.030.452.155;1.006.283.036;0;0;1.400.342.305;4.487.812.695;-192.010.723;0
06.04.2020;Aachen;1020;1.019.050.987;1.030.311.289;1.007.433.889;0;0;1.049.047.589;436.900.142;-228.071.938;0
07.04.2020;Aachen;1029.3;1.019.205.566;1.030.589.827;1.007.624.008;0;0;1.529.118.762;4.733.572.908;-1.835.570.556;0
08.04.2020;Aachen;1025;101.869.413;1.030.069.992;1.005.916.914;0;0;1.405.600.374;4.710.040.208;-1.787.927.638;0
09.04.2020;Aachen;1024.1;1.017.911.386;1.029.528.675;1.006.044.402;0;0;1.453.213.004;4.767.259.409;-1.612.238.795;0
10.04.2020;Aachen;1025.1;10.227.603;1.034.837.828;1.010.615.426;0;0;0.234706812;3.741.244.617;-2.950.852.241;0
11.04.2020;Aachen;1023.1;101.902.314;1.030.702.473;1.007.233.362;0;0;0.955073207;424.651.126;-2.464.283.429;0
12.04.2020;Aachen;1016.5;1.018.243.049;1.030.134.995;1.006.233.335;0;0;1.268.451.992;4.733.813.523;-2.023.322.592;0
13.04.2020;Aachen;1019.5;1.016.026.837;102.724.863;1.004.591.489;0;0;0.914831827;4.452.153.307;-2.321.701.956;0
14.04.2020;Aachen;1026.6;1.017.991.569;1.029.029.785;1.007.078.474;0;0;1.348.479.935;4.665.665.123;-1.771.253.007;0
15.04.2020;Aachen;1024.3;1.017.326.787;1.029.346.265;1.005.750.451;0;0;1.200.959.519;4.444.618.424;-1.981.967.774;0
16.04.2020;Aachen;1017.1;1.016.408.136;1.028.076.269;1.004.563.548;0;0;1.225.647.673;4.578.682.733;-1.909.807.528;0
17.04.2020;Aachen;1015.9;1.016.263.017;1.027.605.979;1.004.749.051;0;0;0.621202099;3.751.076.894;-2.538.250.648;0
18.04.2020;Aachen;1015.3;1.017.312.717;102.841.043;1.005.438.633;0;01. Jan;0.687444362;4.146.341.007;-2.504.436.557;0
19.04.2020;Aachen;1017;1.016.466.554;1.028.053.034;1.004.154.883;0;0;0.984932882;4.290.263.958;-2.228.820.864;0
20.04.2020;Aachen;1016.3;1.016.189.452;102.756.168;1.005.134.728;0;0;0.596993351;3.894.867.525;-2.607.606.488;0
21.04.2020;Aachen;1015.3;1.016.167.346;1.028.109.716;1.004.683.394;0;0;1.044.333.072;4.327.895.312;-2.328.326.149;0
22.04.2020;Aachen;1017.9;1.015.523.012;1.026.910.867;1.003.703.809;0;0;0.893055778;4.317.068.704;-2.380.417.673;0
23.04.2020;Aachen;1018.7;1.014.654.756;1.027.063.508;1.002.577.046;0;0;0.918884646;4.309.291.183;-2.479.282.525;0
24.04.2020;Aachen;1014.1;1.014.589.514;1.026.199.649;1.002.651.798;0;0;0.320756843;3.603.233.252;-2.958.074.686;0
25.04.2020;Aachen;1013.8;1.015.747.502;1.027.491.166;100.372.628;0;0;0.398668019;3.828.129.384;-2.791.940.312;0
26.04.2020;Aachen;1011.5;1.015.036.374;1.027.624.152;1.003.295.756;0;0;0.713236832;4.351.795.399;-2.589.359.106;0
27.04.2020;Aachen;1008.4;1.014.918.838;1.026.834.194;1.002.800.031;0;0;0.347729394;3.726.247.071;-3.066.459.572;0
